ZIP	COUNTY_NAME
28672	Ashe County
28664	Avery County
28652	Avery County
28688	Iredell County
28740	Yancey County
28708	Transylvania County
28772	Transylvania County
28750	Polk County
28727	Henderson County
28737	McDowell County
28738	Haywood County
28765	Mitchell County
28733	Graham County
28909	Clay County
28784	Henderson County
28903	Cherokee County
28308	Cumberland County
28653	Avery County
28691	Watauga County
27811	Pitt County
27867	Northampton County
28236	Mecklenburg County
28223	Mecklenburg County
27982	Dare County
27586	Warren County
28319	Robeson County
28285	Mecklenburg County
28282	Mecklenburg County
28246	Mecklenburg County
28533	Craven County
28244	Mecklenburg County
28280	Mecklenburg County
28287	Mecklenburg County
28281	Mecklenburg County
28265	Mecklenburg County
28260	Mecklenburg County
27237	Lee County
27930	Perquimans County
27495	Guilford County
27625	Wake County
28275	Mecklenburg County
